com.samsung.shealth.activity.day_summary,6100041,2
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,target,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,35100000,2019-12-23 23:00:00.221,3503.872,50853,4339,2668229,1577145600000,,yFuc3cHWzI,2719082,73,com.sec.android.app.shealth,2019-12-24 23:00:01.192,180000,2f3fe435-6fb9-4ec4-a1c1-ae5f581b5f2e,2f3fe435-6fb9-4ec4-a1c1-ae5f581b5f2e.extra_data.json,163.52739,
0,-1,-1,2019-11-20 14:01:34.196,0.0,0,0,0,1572652800000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:34.196,0,f85ffdbb-2852-43de-aeae-f541eba046ad,f85ffdbb-2852-43de-aeae-f541eba046ad.extra_data.json,0.0,
0,60,36600000,2019-12-28 23:00:01.738,5431.3174,64031,6711,3982265,1577577600000,,yFuc3cHWzI,4046296,111,com.sec.android.app.shealth,2019-12-29 22:44:04.877,967454,ee6e8d2b-8b05-43bb-8a9e-6dcd51187b8d,ee6e8d2b-8b05-43bb-8a9e-6dcd51187b8d.extra_data.json,249.34541,
0,-1,-1,2019-11-20 14:01:34.971,0.0,0,0,0,1573171200000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:34.971,0,f27a6734-91f0-4350-b8a8-86ad8359405b,f27a6734-91f0-4350-b8a8-86ad8359405b.extra_data.json,0.0,
0,60,39000000,2019-12-29 23:00:00.575,2614.6885,88642,3049,1839075,1577664000000,,yFuc3cHWzI,1927717,51,com.sec.android.app.shealth,2019-12-30 23:00:00.871,180000,1ea897ac-b3df-48f6-8e03-7c0c1c2865d8,1ea897ac-b3df-48f6-8e03-7c0c1c2865d8.extra_data.json,123.95075,
0,60,38280000,2019-12-24 23:00:00.974,7423.716,94408,9248,5570268,1577232000000,,yFuc3cHWzI,5664676,155,com.sec.android.app.shealth,2019-12-25 19:56:29.885,2332601,84a9c68c-bda4-482e-9a04-51c0baea0f69,84a9c68c-bda4-482e-9a04-51c0baea0f69.extra_data.json,346.78867,
0,60,43920000,2020-01-03 23:00:00.388,2071.1897,45644,2461,1377425,1578096000000,,yFuc3cHWzI,1423069,36,com.sec.android.app.shealth,2020-01-04 21:37:15.044,300000,b77dc15a-8aa7-4a80-9953-5f4656f6dcf3,b77dc15a-8aa7-4a80-9953-5f4656f6dcf3.extra_data.json,97.15396,
0,-1,-1,2019-11-20 14:01:35.644,0.0,0,0,0,1573776000000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:35.644,0,dc875e56-49d0-402d-8344-57f1768c2955,dc875e56-49d0-402d-8344-57f1768c2955.extra_data.json,0.0,
0,60,38040000,2020-01-04 23:00:02.151,1239.8262,26712,1500,948399,1578182400000,,yFuc3cHWzI,975111,25,com.sec.android.app.shealth,2020-01-05 22:50:20.230,60000,ed5e0600-4b95-45ab-9909-d4934922460b,ed5e0600-4b95-45ab-9909-d4934922460b.extra_data.json,58.262466,
0,60,45540000,2019-12-30 23:00:00.541,838.58356,44000,931,547607,1577750400000,,yFuc3cHWzI,591607,15,com.sec.android.app.shealth,2019-12-31 23:00:00.693,42688,f59c2afa-562a-419b-9d3c-a795d6868bf3,f59c2afa-562a-419b-9d3c-a795d6868bf3.extra_data.json,42.37106,
