com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-12-19 17:34:03.940,122.55469,135,-2,1576713600000,1.7389973,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-19 19:26:44.943,78244610-965f-45a4-9bb4-9f33bacb0af6.binning_data.json,78244610-965f-45a4-9bb4-9f33bacb0af6,6.0076904,com.sec.android.app.shealth,
2019-12-11 12:59:11.118,119.56902,111,-2,1576022400000,2.8155513,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-11 14:53:37.336,9be6c073-87f1-48e6-82d8-bb9e431502db.binning_data.json,9be6c073-87f1-48e6-82d8-bb9e431502db,7.8619566,com.sec.android.app.shealth,
2019-12-21 06:47:36.321,6166.3384,7614,-2,1576886400000,1.6128864,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-21 18:46:30.561,4f68d792-8d64-400d-baa1-1f15fc7a8906.binning_data.json,4f68d792-8d64-400d-baa1-1f15fc7a8906,289.57242,com.sec.android.app.shealth,
2019-12-20 23:00:01.572,6938.416,8622,0,1576800000000,4.8034554,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-20 23:00:01.572,223a2ccb-2bb0-48ec-91c2-f0fb70563e83.binning_data.json,223a2ccb-2bb0-48ec-91c2-f0fb70563e83,322.9771,com.sec.android.app.shealth,
2019-12-22 09:26:59.085,1801.2737,2191,-2,1576972800000,1.7846305,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-22 23:00:04.551,43536a65-3185-4027-86eb-cdecb81da622.binning_data.json,43536a65-3185-4027-86eb-cdecb81da622,83.78339,com.sec.android.app.shealth,
2019-12-15 23:00:02.154,2151.7993,2604,0,1576368000000,4.24771,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-15 23:00:02.154,500a97a0-a9ea-4bb0-87a9-514f181c04fa.binning_data.json,500a97a0-a9ea-4bb0-87a9-514f181c04fa,100.20192,com.sec.android.app.shealth,
2019-12-14 10:07:59.082,845.85156,951,-2,1576281600000,1.9373463,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-14 22:11:00.743,533d7e31-51c2-4e9d-ac6b-08f6303fb8f0.binning_data.json,533d7e31-51c2-4e9d-ac6b-08f6303fb8f0,43.00714,com.sec.android.app.shealth,
2019-12-18 23:00:05.067,71.65137,78,0,1576627200000,2.925654,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-18 23:00:05.067,06f5620a-936d-4248-8c82-b4c902ee7431.binning_data.json,06f5620a-936d-4248-8c82-b4c902ee7431,3.945984,com.sec.android.app.shealth,
2019-12-24 08:45:56.827,3503.872,4339,-2,1577145600000,1.5742112,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-24 22:25:00.826,89e75a03-9b93-4c1c-ae2c-3923468628a5.binning_data.json,89e75a03-9b93-4c1c-ae2c-3923468628a5,163.52739,com.sec.android.app.shealth,
2019-12-25 09:38:44.643,7392.733,9248,-2,1577232000000,1.551409,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-25 19:56:30.527,afef8429-4b7b-45ba-aa36-95678954b15c.binning_data.json,afef8429-4b7b-45ba-aa36-95678954b15c,345.37625,com.sec.android.app.shealth,
2019-12-23 23:00:00.860,2469.798,2891,0,1577059200000,6.5104165,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-23 23:00:00.860,44999f67-1b41-4b7e-bba8-bed0f342a5d0.binning_data.json,44999f67-1b41-4b7e-bba8-bed0f342a5d0,119.786545,com.sec.android.app.shealth,
2019-12-17 08:01:09.462,7695.765,9689,-2,1576540800000,1.5889441,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-17 21:42:03.937,682bf69e-f705-4250-bb71-ad77f5a58301.binning_data.json,682bf69e-f705-4250-bb71-ad77f5a58301,350.9803,com.sec.android.app.shealth,
2019-12-27 23:04:28.880,6381.8223,8232,-2,1577491200000,1.429096,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-28 22:38:51.179,75a3b53e-80d1-4f2f-b034-c54367fbda61.binning_data.json,75a3b53e-80d1-4f2f-b034-c54367fbda61,297.08588,com.sec.android.app.shealth,
2019-12-27 10:26:48.635,5913.8613,7412,-2,1577404800000,1.5750469,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-28 23:00:03.622,78165475-f9ad-4112-aa77-d10438a75887.binning_data.json,78165475-f9ad-4112-aa77-d10438a75887,275.31616,com.sec.android.app.shealth,
2019-12-21 23:00:04.695,6166.3384,7614,0,1576886400000,4.721565,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-21 23:00:04.695,4b80e3c4-5b12-4127-be6f-a530f6ae890b.binning_data.json,4b80e3c4-5b12-4127-be6f-a530f6ae890b,289.57242,com.sec.android.app.shealth,
2019-12-26 23:00:01.459,1506.5732,1788,0,1577318400000,4.379055,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-26 23:00:01.459,ab037195-7d23-477f-8dc8-cf7ba8bff862.binning_data.json,ab037195-7d23-477f-8dc8-cf7ba8bff862,72.45355,com.sec.android.app.shealth,
2019-12-24 23:00:01.441,3503.872,4339,0,1577145600000,3.5006576,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-24 23:00:01.441,0fb5fcbd-809f-4bbd-9a6c-fe2f3398eda0.binning_data.json,0fb5fcbd-809f-4bbd-9a6c-fe2f3398eda0,163.52739,com.sec.android.app.shealth,
