com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
14565,6,4,24,1629450936869,25.458008,UTC+0300,,30,1629450960000,1.7478245,yFuc3cHWzI,1629450900000,com.sec.android.app.shealth,1629450959973,d4b09cf1-c994-4ad3-8421-e919474496c1,1.3364258,,
15461,0,4,27,1629220208829,21.892578,UTC+0300,,27,1629220200000,1.4159254,yFuc3cHWzI,1629220140000,com.sec.android.app.shealth,1629220208829,787e51c8-678e-450b-9807-54bcbf87fb3e,1.1027222,,
9890,0,4,22,1629392406251,18.79248,UTC+0300,,22,1629392460000,1.9000556,yFuc3cHWzI,1629392400000,com.sec.android.app.shealth,1629392416332,66d5d4c2-47a0-4887-8437-e0df34f9fe5e,0.98495483,,
12815,1,4,27,1629235153191,24.89795,UTC+0300,,28,1629235200000,1.942787,yFuc3cHWzI,1629235140000,com.sec.android.app.shealth,1629235162444,5d5dcea7-fa9e-4e81-9d36-5a393a1b7dda,1.329956,,
1892,0,4,6,1629451860635,5.751953,UTC+0300,,6,1629451920000,3.0387993,yFuc3cHWzI,1629451860000,com.sec.android.app.shealth,1629451860635,4887595d-402b-46d7-a7d8-358d772cbf5b,0.26950073,,
8103,0,4,16,1629450777300,12.380859,UTC+0300,,16,1629450780000,1.5277973,yFuc3cHWzI,1629450720000,com.sec.android.app.shealth,1629450779371,d73539b3-5681-457b-b1bf-20e017e57ad7,0.5586548,,
5170,0,4,7,1629288742147,5.408203,UTC+0300,,7,1629288780000,1.0459194,yFuc3cHWzI,1629288720000,com.sec.android.app.shealth,1629288742147,d8179d0a-933d-453c-879c-2ec9e0db7936,0.24441528,,
10303,0,4,23,1629289716243,19.32373,UTC+0300,,23,1629289740000,1.8753765,yFuc3cHWzI,1629289680000,com.sec.android.app.shealth,1629289716243,69e3bab1-c13d-4ea1-8db6-8fd5aa843992,0.8101196,,
6819,0,4,15,1629452640157,12.037109,UTC+0300,,15,1629452700000,1.7652197,yFuc3cHWzI,1629452640000,com.sec.android.app.shealth,1629452647834,6837cfa1-45ad-4a1f-aaf1-5bcd7fdd5ee3,0.5205078,,
1772,0,4,7,1629405268213,6.767578,UTC+0300,,7,1629405300000,3.81886,yFuc3cHWzI,1629405240000,com.sec.android.app.shealth,1629405268272,42c62752-1bb4-47b9-b7ad-118062bb94cc,0.27304077,,
