com.samsung.shealth.rewards,6100041,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
1,2019-12-06 18:55:00.480,UTC+0200,,2019-12-05 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-05 23:00:00.000,com.sec.android.app.shealth,2019-12-11 23:00:01.000,,ce2e0556-2ed3-4022-8b5d-deffb90b20b0,"{""mTarget"":6000,""mValue"":8196}",tracker.pedometer,,
0,2019-12-21 16:02:00.524,UTC+0200,,2019-12-21 16:02:00.451,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-21 16:02:00.451,com.sec.android.app.shealth,2019-12-25 16:35:01.559,,6603259b-98ab-4a1f-865a-23cffe1d2337,"{""mIsCompleted"":false,""mValue"":73,""mValue2"":60}",goal.activity,,
1,2019-12-16 15:15:01.172,UTC+0200,,2019-12-15 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-15 23:00:00.000,com.sec.android.app.shealth,2019-12-21 23:00:05.163,,8be2256b-2249-406d-8cd0-ad9688a3b0a4,"{""mTarget"":6000,""mValue"":7563}",tracker.pedometer,,
1,2019-12-20 16:59:17.700,UTC+0200,,2019-12-19 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-19 23:00:00.000,com.sec.android.app.shealth,2019-12-25 23:00:01.637,,b77ab80e-a2ec-4078-b35a-19a74da647bc,"{""mTarget"":6000,""mValue"":8622}",tracker.pedometer,,
1,2019-12-25 16:35:00.733,UTC+0200,,2019-12-24 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-24 23:00:00.000,com.sec.android.app.shealth,2019-12-30 23:00:01.469,,b6c3d388-6eb1-417b-84dd-688d15120c9f,"{""mTarget"":6000,""mValue"":9248}",tracker.pedometer,,
1,2019-12-13 19:05:23.661,UTC+0200,,2019-12-12 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-12 23:00:00.000,com.sec.android.app.shealth,2019-12-18 23:00:02.038,,1bb98f4d-b042-486b-bc54-360b8d2fc17f,"{""mTarget"":6000,""mValue"":7260}",tracker.pedometer,,
0,2019-12-27 16:57:30.282,UTC+0200,,2019-12-27 16:57:30.230,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-27 16:57:30.230,com.sec.android.app.shealth,2019-12-28 15:23:00.114,,decd65f6-dce7-472e-bfb9-c4b8d74272f3,"{""mIsCompleted"":true,""mValue"":72,""mValue2"":60}",goal.activity,,
1,2019-12-10 17:45:46.489,UTC+0200,,2019-12-09 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-09 23:00:00.000,com.sec.android.app.shealth,2019-12-15 23:00:01.953,,3c3bd3ec-4198-45b7-a6a3-9c6059743746,"{""mTarget"":6000,""mValue"":6528}",tracker.pedometer,,
0,2019-12-20 17:15:01.206,UTC+0200,,2019-12-20 17:15:01.186,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-20 17:15:01.186,com.sec.android.app.shealth,2019-12-21 16:02:00.491,,277f6208-86c5-4d06-8e8e-c005a07dd91f,"{""mIsCompleted"":false,""mValue"":80,""mValue2"":60}",goal.activity,,
0,2019-12-28 15:23:00.125,UTC+0200,,2019-12-28 15:23:00.067,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-28 15:23:00.067,com.sec.android.app.shealth,2019-12-29 16:43:43.757,,60646532-1c64-4b0f-b707-fe6b9cb42eb1,"{""mIsCompleted"":false,""mValue"":85,""mValue2"":60}",goal.activity,,
0,2019-12-25 16:35:01.579,UTC+0200,,2019-12-25 16:35:01.512,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-25 16:35:01.512,com.sec.android.app.shealth,2019-12-27 16:57:30.267,,27019548-3bd2-4da4-9dc6-8ed6720dc7aa,"{""mIsCompleted"":false,""mValue"":93,""mValue2"":60}",goal.activity,,
0,2019-12-29 16:43:43.790,UTC+0200,,2019-12-29 16:43:43.709,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-29 16:43:43.709,com.sec.android.app.shealth,2020-01-13 18:45:28.438,,4de381ac-0554-44d7-b8c3-3ae17d44903b,"{""mIsCompleted"":false,""mValue"":67,""mValue2"":60}",goal.activity,,
1,2019-12-13 19:05:24.331,UTC+0200,,2019-12-12 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-12 23:00:00.000,com.sec.android.app.shealth,2019-12-18 23:00:05.389,,dd32e7fd-4e8a-42f5-8ebf-233ccc5a57fb,"{""mTarget"":6000,""mValue"":7260}",tracker.pedometer,,
0,2020-01-14 18:38:18.106,UTC+0200,,2020-01-14 18:38:13.497,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2020-01-14 18:38:13.497,com.sec.android.app.shealth,2020-01-21 18:09:00.271,,996122e7-b53b-4cb8-952e-72d205115dad,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",goal.activity,,
1,2019-12-25 16:35:02.227,UTC+0200,,2019-12-24 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-24 23:00:00.000,com.sec.android.app.shealth,2019-12-30 23:00:02.062,,4989a247-226f-4b7a-adf5-05822dc50515,"{""mTarget"":6000,""mValue"":9248}",tracker.pedometer,,
1,2019-12-17 14:55:00.595,UTC+0200,,2019-12-16 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-16 23:00:00.000,com.sec.android.app.shealth,2019-12-22 23:00:03.483,,a0119fa4-d8a8-4707-809c-cbde2220e3cb,"{""mTarget"":6000,""mValue"":9689}",tracker.pedometer,,
