com.samsung.shealth.insight.hourly_accumulated_active_time,6100041,1
active_time_11,active_time_10,active_time_13,active_time_12,active_time_15,active_time_14,active_time_17,active_time_16,active_time_8,active_time_7,active_time_6,active_time_5,active_time_4,active_time_3,day_time,active_time_2,active_time_1,deviceuuid,update_time,datauuid,active_time_22,active_time_21,active_time_24,active_time_23,create_time,active_time_20,pkg_name,active_time_9,active_time_19,active_time_18
489127,,753864,489127,753864,753864,832434,753864,,,,,,,1583020800000,,,yFuc3cHWzI,2020-03-02 03:07:16.195,abb2a34b-cd3d-4849-bc38-bcdc103b8981,1308476,1308476,1308476,1308476,2020-03-02 03:07:16.195,1308476,com.sec.android.app.shealth,,832434,832434,
8004,8004,845396,483365,870742,845396,874744,874744,,,,,,,1575504000000,,,yFuc3cHWzI,2019-12-06 02:53:20.319,c2fade71-fcfd-4836-a03f-7fceb1faf333,895421,895421,904092,904092,2019-12-06 02:53:20.319,895421,com.sec.android.app.shealth,8004,895421,895421,
31748,23744,1102132,241948,1381848,1299293,1655554,1634210,9338,9338,9338,9338,9338,9338,1583107200000,9338,9338,yFuc3cHWzI,2020-03-03 06:18:28.702,5d7818c3-0a36-46f0-a66c-83d290ae497e,2985654,2985654,2985654,2985654,2020-03-03 06:18:28.702,2375554,com.sec.android.app.shealth,9338,1655554,1655554,
1803078,1721984,2216450,2016484,2566156,2566156,4249496,2795409,29081,29081,29081,29081,29081,29081,1576454400000,29081,29081,yFuc3cHWzI,2019-12-17 02:17:18.662,da2520ce-578f-440d-bf08-bcd6a5f9c7ae,4266571,4266571,4270573,4270573,2019-12-17 02:17:18.662,4261902,com.sec.android.app.shealth,1293405,4249496,4249496,
2296677,2296677,2314686,2314686,3060610,2639425,3587141,3060610,26545,,,,,,1576886400000,,,yFuc3cHWzI,2019-12-22 03:43:20.513,99cf85d5-d4ff-45c9-a730-c2f18185d14a,4414802,4414802,4414802,4414802,2019-12-22 03:43:20.513,4414802,com.sec.android.app.shealth,2162079,4242734,3800311,
1821686,1738828,2225282,2182728,3934316,3934316,3972196,3943654,,,,,,,1576108800000,,,yFuc3cHWzI,2019-12-13 07:08:55.568,5b3fb8f2-0c51-4f93-b507-7617d7128e4a,3979533,3979533,3979533,3979533,2019-12-13 07:08:55.568,3979533,com.sec.android.app.shealth,29081,3972196,3972196,
54954,,556112,524096,765784,745908,2361386,812739,,,,,,,1577232000000,,,yFuc3cHWzI,2019-12-26 01:59:02.524,efead30e-ab26-4a5b-badc-6c7f9df888b3,5664676,5664676,5664676,5664676,2019-12-26 01:59:02.524,5547685,com.sec.android.app.shealth,,5547685,5413088,
3023217,2224240,3887896,3023217,3976607,3976607,3976607,3976607,1573768,,,,,,1583280000000,,,yFuc3cHWzI,2020-03-05 05:45:02.615,7ff861ab-da19-4e66-bec1-de8410d48a8c,4001686,3985278,4001686,4001686,2020-03-05 05:45:02.615,3985278,com.sec.android.app.shealth,1573768,3985278,3976607,
317102,,980185,317102,997791,980185,1013132,997791,,,,,,,1575763200000,,,yFuc3cHWzI,2019-12-09 07:05:00.075,b8669949-840e-4eb7-8277-98869cf563aa,1342884,1342884,1342884,1342884,2019-12-09 07:05:00.075,1113311,com.sec.android.app.shealth,,1058621,1058621,
68701,68701,68701,68701,812859,566159,1197616,812859,,,,,,,1578355200000,,,yFuc3cHWzI,2020-01-08 01:28:01.717,c096585c-04b1-4292-807e-69c6d18ab57c,2810519,2810519,2810519,2810519,2020-01-08 01:28:01.717,2810519,com.sec.android.app.shealth,,2810519,1691459,
57094,,57094,57094,96578,77771,1456506,389025,,,,,,,1578268800000,,,yFuc3cHWzI,2020-01-07 02:08:54.637,fca7ad8c-f3df-4bd7-b10a-a8031c10f693,1483186,1470513,1483186,1483186,2020-01-07 02:08:54.637,1456506,com.sec.android.app.shealth,,1456506,1456506,
1118495,885713,1267236,1140506,1444524,1360616,1601402,1509356,614551,271644,,,,,1579305600000,,,yFuc3cHWzI,2020-01-19 01:50:12.223,d693f22c-53ad-4bb3-9ca2-c072389c9742,3066691,3066691,3191953,3191953,2020-01-19 01:50:12.223,3013331,com.sec.android.app.shealth,815011,2511822,1931567,
,,8804,,85773,18142,327089,281468,,,,,,,1577750400000,,,yFuc3cHWzI,2020-01-01 01:23:00.287,4be12b83-149c-4d10-a8b8-6ecc13f94207,473818,473818,591607,473818,2020-01-01 01:23:00.287,473818,com.sec.android.app.shealth,,448072,448072,
12673,12673,1191704,12673,1779343,1761601,2237603,2231600,,,,,,,1574726400000,,,yFuc3cHWzI,2019-11-27 03:47:06.717,1bd9cbd7-e703-4c24-afad-2e6f6fddaf48,4089179,4089179,4105320,4089179,2019-11-27 03:47:06.717,3143232,com.sec.android.app.shealth,,2375404,2363532,
782149,323730,1212583,782149,1243932,1212583,1256605,1247934,323730,323730,323730,323730,323730,323730,1583625600000,323730,123497,yFuc3cHWzI,2020-03-09 06:09:13.139,6fa34dff-cf19-4681-8b07-028d466c3c92,1338778,1278081,1385067,1369726,2020-03-09 06:09:13.139,1278081,com.sec.android.app.shealth,323730,1256605,1256605,
2470525,932963,2478927,2478927,2507608,2507608,2530953,2507608,759410,,,,,,1582761600000,,,yFuc3cHWzI,2020-02-28 03:06:57.699,3f0021c3-31f3-4793-8432-2b47f3d2ae39,2558967,2558967,2558967,2558967,2020-02-28 03:06:57.699,2558967,com.sec.android.app.shealth,765413,2558967,2558967,
1595597,1595597,1894960,1876951,3070409,2498749,3092420,3070409,1327523,,,,,,1574812800000,,,yFuc3cHWzI,2019-11-28 03:41:50.664,b6f7006b-a6e2-4351-8990-c1d4ab4114f2,3092420,3092420,3097222,3092420,2019-11-28 03:41:50.664,3092420,com.sec.android.app.shealth,1327523,3092420,3092420,
234777,,549511,358779,870567,805201,904584,904584,,,,,,,1579392000000,,,yFuc3cHWzI,2020-01-20 01:51:01.437,dc4d058c-b179-4245-ad55-0b42e954b049,1322887,1322887,1322887,1322887,2020-01-20 01:51:01.437,1322887,com.sec.android.app.shealth,,1073063,931931,
,,,,,,32682,28680,,,,,,,1578009600000,,,yFuc3cHWzI,2020-01-04 01:29:10.356,ff8c85b1-6699-47ab-be86-da7b464b76ad,115256,77904,238517,238517,2020-01-04 01:29:10.356,70567,com.sec.android.app.shealth,,70567,70567,
441190,441190,441190,441190,449994,441190,461333,461333,319663,,,,,,1579478400000,,,yFuc3cHWzI,2020-01-21 03:52:26.394,40025bbd-b985-48e7-9a00-d1bd9291b92c,502020,497351,502020,502020,2020-01-21 03:52:26.394,481343,com.sec.android.app.shealth,441190,481343,461333,
