id,create_time,distance,step_count,day_time,speed,active_time,update_time,walk_step_count,calorie,run_step_count,healthy_step
118,2020-02-24 23:00:05.674,7115.357,8862,1582502400000,3.7459183,4364441,2020-02-24 23:00:05.674,8454,328.9848,408,0
119,2020-02-10 08:22:25.131,5094.3774,6262,1581292800000,1.6792431,3033734,2020-02-10 20:03:01.347,6062,233.03432,200,0
120,2020-02-13 23:00:01.754,5940.7515,7173,1581552000000,6.9444447,3441736,2020-02-13 23:00:01.754,6945,274.83994,228,0
121,2020-02-27 23:03:16.268,3993.4414,4835,1582761600000,6.942749,2298609,2020-02-27 23:03:16.268,4540,185.1355,295,0
122,2020-01-28 07:33:39.550,5238.867,6524,1580169600000,1.5948595,3284845,2020-01-28 23:00:03.959,6371,242.95154,153,0
123,2020-02-16 23:00:01.336,621.6924,736,1581811200000,3.486281,395143,2020-02-16 23:00:01.336,695,31.126717,41,0
124,2019-12-15 23:01:47.103,6173.0024,7563,1576454400000,1.6503441,3740433,2019-12-16 21:56:26.724,7179,290.77988,384,0
125,2020-02-19 23:01:00.275,5158.255,6530,1582070400000,3.5388513,3207357,2020-02-19 23:01:00.275,6488,231.6502,42,0
126,2020-03-01 23:00:02.307,1991.3242,2298,1583020800000,4.21358,1078887,2020-03-01 23:00:02.307,2063,98.599365,235,0
127,2020-02-13 06:04:25.238,5940.7515,7173,1581552000000,1.7260711,3441777,2020-02-13 18:09:29.778,6945,274.83994,228,0
128,2020-02-22 23:07:11.993,378.09106,397,1582329600000,3.4054613,190582,2020-02-22 23:07:11.993,295,21.26799,102,0
129,2019-12-19 17:34:03.902,122.55469,135,1576713600000,1.7389973,70474,2019-12-19 19:26:44.902,128,6.0076904,7,0
130,2020-03-04 23:05:29.883,6195.5986,7695,1583280000000,4.3721123,3758263,2020-03-04 23:05:29.883,7391,283.80237,304,0
131,2020-02-25 23:00:03.524,5354.206,6703,1582588800000,3.3672116,3197340,2020-02-25 23:00:03.524,6582,241.38818,121,0
132,2020-02-16 08:29:32.045,621.6924,736,1581811200000,1.5732803,395156,2020-02-16 22:16:42.828,695,31.126717,41,0
133,2020-01-31 07:29:26.073,6196.338,7710,1580428800000,1.5677903,3952274,2020-01-31 22:53:31.094,7421,290.351,289,0
134,2020-03-07 23:53:00.912,1498.7173,1817,1583539200000,6.925621,836574,2020-03-07 23:53:00.912,1734,70.06502,83,0
135,2020-02-03 05:54:44.331,5977.4346,7378,1580688000000,1.617903,3694556,2020-02-03 22:55:31.797,7094,278.46716,284,0
136,2020-03-10 23:00:01.994,6213.6167,7725,1583798400000,6.9444447,3857609,2020-03-10 23:00:01.994,7537,286.4312,188,0
137,2020-02-19 06:10:49.503,5158.255,6530,1582070400000,1.6082429,3207385,2020-02-19 16:00:41.897,6488,231.6502,42,0
138,2020-03-13 23:00:01.636,5251.4043,6548,1584057600000,6.9444447,3245433,2020-03-13 23:00:01.636,6467,240.01273,81,0
139,2020-03-16 23:00:01.440,135.4502,165,1584316800000,3.0645611,95711,2020-03-16 23:00:01.440,165,6.576355,0,0
140,2019-12-22 09:26:59.024,1801.2737,2191,1576972800000,1.7846305,1009325,2019-12-22 23:00:04.466,2097,83.78339,94,0
141,2020-02-06 06:00:50.337,7133.3945,8866,1580947200000,1.5899942,4486428,2020-02-06 22:58:00.967,8564,332.79272,302,0
142,2020-03-19 23:00:04.628,126.84277,151,1584576000000,6.9444447,72901,2020-03-19 23:00:04.628,150,5.991455,1,0
143,2020-02-28 23:00:01.340,2841.6191,3322,1582848000000,3.7212853,1661589,2020-02-28 23:00:01.340,2997,140.69458,325,0
144,2020-03-23 23:00:07.222,74.24669,77,1584921600000,6.544277,34247,2020-03-23 23:00:07.222,76,3.7571385,1,0
145,2020-02-08 23:14:15.003,2122.2236,2610,1581206400000,1.6813742,1262195,2020-02-09 22:18:28.873,2557,97.0584,53,0
146,2020-03-26 23:00:01.218,267.22015,298,1585180800000,6.8455415,148758,2020-03-26 23:00:01.218,268,14.396053,30,0
147,2020-03-29 22:00:14.297,92.05249,114,1585440000000,1.8605492,54579,2020-03-29 22:00:14.297,114,4.062439,0,0
148,2020-02-22 12:07:42.152,378.09106,397,1582329600000,1.9837834,190590,2020-02-22 17:49:39.861,295,21.26799,102,0
149,2019-12-25 09:38:44.581,7392.733,9248,1577232000000,1.551409,4765173,2019-12-25 19:56:30.485,8972,345.37625,276,0
150,2020-04-01 22:00:01.817,328.81348,353,1585699200000,5.054248,147209,2020-04-01 22:00:01.817,275,18.146568,78,0
151,2020-02-12 07:22:38.263,5875.238,7137,1581465600000,1.729402,3397265,2020-02-12 19:35:01.448,6901,270.7444,236,0
152,2020-03-02 23:00:01.488,4512.5454,5386,1583107200000,5.503718,2532114,2020-03-02 23:00:01.488,4990,215.60884,396,0
153,2020-04-04 22:00:01.504,24.339111,29,1585958400000,1.7972126,13542,2020-04-04 22:00:01.504,29,1.1300507,0,0
154,2019-12-27 23:04:28.843,6381.8223,8232,1577491200000,1.429096,4465635,2019-12-28 22:38:50.892,8146,297.08588,86,0
155,2020-04-07 22:00:01.290,322.3197,369,1586217600000,2.9848437,164254,2020-04-07 22:00:01.290,342,15.828127,27,0
156,2020-02-15 08:55:07.130,2479.5771,2905,1581724800000,1.8133507,1367400,2020-02-15 22:10:53.819,2699,119.93603,206,0
157,2020-04-10 22:00:38.695,188.04385,214,1586476800000,6.944445,98925,2020-04-10 22:00:38.695,201,9.281062,13,0
158,2020-02-25 07:48:44.238,5354.206,6703,1582588800000,1.6745648,3197371,2020-02-25 19:09:49.788,6582,241.38818,121,0
159,2020-03-05 23:00:18.132,6858.992,8485,1583366400000,6.9444447,4090562,2020-03-05 23:00:18.132,8138,316.9952,347,0
160,2020-02-18 11:56:54.755,5698.4414,7064,1581984000000,1.6680008,3416330,2020-02-18 22:29:05.878,6880,257.84592,184,0
161,2019-12-31 11:39:50.649,838.58344,931,1577750400000,1.9892735,421552,2019-12-31 23:00:02.181,821,42.37106,110,0
162,2020-04-13 22:00:02.025,172.63742,162,1586736000000,3.7802851,72589,2020-04-13 22:00:02.025,114,10.405147,48,0
163,2020-03-08 23:00:01.741,2011.8032,2478,1583625600000,4.3928995,1149411,2020-03-08 23:00:01.741,2451,90.79132,27,0
164,2020-04-16 22:00:01.579,884.4496,909,1586995200000,6.9119396,440748,2020-04-16 22:00:01.579,716,47.126846,193,0
165,2019-11-22 23:00:02.182,6867.6777,8420,1574380800000,6.9444447,4107669,2019-11-22 23:00:02.182,8164,316.2991,256,0
166,2020-01-03 14:14:17.878,305.7367,362,1578009600000,1.916437,159533,2020-01-03 21:50:00.772,351,13.948185,11,0
167,2020-02-28 07:46:59.436,2841.6191,3322,1582848000000,1.7101443,1661625,2020-02-28 23:00:02.156,2997,140.69458,325,0
168,2020-04-19 22:00:56.541,65.46845,58,1587254400000,4.424244,20549,2020-04-19 22:00:56.541,43,4.1168804,15,0
169,2020-01-06 09:20:11.900,2326.2153,2713,1578268800000,1.9050146,1221101,2020-01-06 20:33:03.506,2287,115.09826,426,0
170,2020-02-21 08:14:50.501,5609.4233,6860,1582243200000,1.7279646,3246260,2020-02-21 21:21:11.807,6483,259.8292,377,0
171,2019-11-25 23:00:03.709,8441.096,10106,1574640000000,5.663299,4756532,2019-11-25 23:00:03.709,9319,402.4835,787,0
172,2020-04-22 22:00:01.367,450.79468,518,1587513600000,3.4369526,264057,2020-04-22 22:00:01.367,502,22.723398,16,0
173,2020-01-09 11:40:31.638,594.7491,687,1578528000000,1.8733008,317487,2020-01-09 22:42:26.086,651,29.307632,36,0
174,2019-11-28 23:00:01.662,5542.3325,6753,1574899200000,6.9444447,3238301,2019-11-28 23:00:01.662,6501,256.6412,252,0
175,2020-03-01 23:23:18.690,4512.5454,5386,1583107200000,1.7821037,2532145,2020-03-02 19:28:47.425,4990,215.60884,396,0
176,2020-03-11 23:00:01.511,4503.266,5739,1583884800000,3.981935,2877233,2020-03-11 23:00:01.511,5716,203.05246,23,0
177,2020-04-25 22:00:01.408,587.58716,680,1587772800000,3.7189944,309853,2020-04-25 22:00:01.408,638,28.249193,42,0
178,2020-02-24 07:44:45.587,7115.357,8862,1582502400000,1.6302841,4364489,2020-02-24 20:54:36.871,8454,328.9848,408,0
179,2020-01-12 09:51:25.435,1427.6089,1706,1578787200000,1.6364787,872366,2020-01-12 20:44:41.664,1642,66.418106,64,0
180,2019-12-01 23:00:02.106,1441.2139,1686,1575158400000,6.0932093,848366,2019-12-01 23:00:02.106,1566,71.739365,120,0
181,2020-04-28 22:00:01.490,310.4783,360,1588032000000,4.1357303,156842,2020-04-28 22:00:01.490,315,15.539743,45,0
182,2020-01-15 09:38:07.157,62.118164,69,1579046400000,1.9140962,32452,2020-01-15 16:17:04.863,66,3.3765564,3,0
183,2020-02-27 06:23:25.520,3993.4414,4835,1582761600000,1.7373096,2298635,2020-02-27 23:03:16.987,4540,185.1355,295,0
184,2020-03-05 06:15:32.888,6858.992,8485,1583366400000,1.6767646,4090611,2020-03-05 21:45:34.737,8138,316.9952,347,0
185,2020-01-18 05:38:27.465,4414.9517,5146,1579305600000,1.7136856,2576290,2020-01-18 21:48:31.297,4560,221.94687,586,0
186,2020-05-01 22:00:01.572,101.74303,122,1588291200000,2.8239498,54139,2020-05-01 22:00:01.572,118,4.859966,4,0
187,2020-03-14 23:00:02.713,6801.0664,8363,1584144000000,6.9444447,4159657,2020-03-14 23:00:02.713,8020,317.00763,343,0
188,2019-12-04 23:00:01.914,6889.4478,8318,1575417600000,6.890191,3992690,2019-12-04 23:00:01.914,7823,325.7565,495,0
189,2020-03-17 23:00:01.705,148.35156,176,1584403200000,2.773941,84555,2020-03-17 23:00:01.705,166,6.9796753,10,0
190,2020-03-01 09:45:05.502,1991.3242,2298,1583020800000,1.8456837,1078908,2020-03-01 18:57:33.942,2063,98.599365,235,0
191,2020-03-07 23:53:08.438,2011.8032,2478,1583625600000,1.750249,1149438,2020-03-08 22:24:59.812,2451,90.79132,27,0
192,2020-05-04 22:00:02.298,598.7605,668,1588550400000,4.9437556,277530,2020-05-04 22:00:02.298,560,31.20257,108,0
193,2019-12-07 23:00:01.573,2085.4424,2373,1575676800000,4.931845,1147182,2019-12-07 23:00:01.573,2148,104.27643,225,0
194,2020-01-21 06:18:44.000,5918.431,7075,1579564800000,1.7722343,3339530,2020-01-21 21:50:06.554,6440,284.59033,635,0
195,2020-03-04 06:06:25.294,6195.5986,7695,1583280000000,1.6485142,3758292,2020-03-04 20:23:09.079,7391,283.80237,304,0
196,2020-03-20 23:00:01.556,310.05078,327,1584662400000,6.1291223,153772,2020-03-20 23:00:01.556,306,17.075378,21,0
197,2020-05-07 22:00:03.348,225.57243,255,1588809600000,3.5848286,129216,2020-05-07 22:00:03.348,219,11.594559,36,0
198,2019-12-10 23:01:00.456,5207.152,6528,1575936000000,4.018888,3223897,2019-12-10 23:01:00.456,6377,237.08458,151,0
199,2020-01-24 07:55:01.563,6985.1562,8177,1579824000000,1.7691206,3948377,2020-01-24 22:18:21.264,6944,353.1726,1233,0
